MYA	WAD
730.4689	11.7875
730.7433	11.7873
731.018	11.7873
731.2925	11.7873
731.567	11.7872
731.8415	11.7871
732.116	11.7871
732.3906	11.787
732.6651	11.7869
732.9396	11.7869
733.2141	11.7868
733.4886	11.7867
733.7631	11.7867
734.0377	11.7866
734.3122	11.7865
734.5867	11.7865
734.8612	11.7864
735.1358	11.7863
735.4102	11.7863
735.6848	11.7862
735.9593	11.7861
736.2338	11.7861
736.5084	11.786
736.7814	11.7304
737.0559	11.7303
737.3304	11.7303
737.6049	11.7302
737.8794	11.7301
738.154	11.7301
738.4285	11.73
738.7029	11.7299
738.9775	11.7299
739.252	11.7298
739.5266	11.7297
739.8011	11.7297
740.0756	11.7296
740.3501	11.7295
740.6246	11.7295
740.8976	11.6738
741.1721	11.6738
741.4466	11.6737
741.7212	11.6736
741.9957	11.6736
742.2702	11.6735
742.5447	11.6734
742.8193	11.6734
743.0937	11.6733
743.3668	11.6177
743.6413	11.6176
743.9158	11.6175
744.1903	11.6175
744.4649	11.6174
744.7393	11.6173
745.0139	11.6173
745.2884	11.6172
745.5629	11.6171
745.8375	11.6171
746.112	11.617
746.3865	11.6169
746.661	11.6169
746.934	11.5613
747.2085	11.5612
747.483	11.5611
747.7576	11.5611
748.0321	11.561
748.3066	11.5609
748.5811	11.5609
748.854	11.5051
749.1286	11.5051
749.4032	11.5051
749.6777	11.505
749.9522	11.505
750.2267	11.5049
750.5011	11.5048
750.7758	11.5048
751.0503	11.5047
751.3248	11.5046
751.5977	11.449
751.8723	11.449
752.1468	11.4489
752.4214	11.4487
752.6959	11.4487
752.9704	11.4487
753.2449	11.4485
753.5179	11.393
753.7924	11.3929
754.0669	11.3929
754.3415	11.3928
754.616	11.3927
754.8904	11.3927
755.165	11.3926
755.4395	11.3925
755.7141	11.3925
755.9886	11.3924
756.2616	11.3368
756.5361	11.3367
756.8106	11.3366
757.0851	11.3366
757.3597	11.3365
757.6341	11.3364
757.9087	11.3364
758.1817	11.2808
758.4562	11.2807
758.7307	11.2806
759.0052	11.2806
759.2798	11.2805
759.5543	11.2804
759.8288	11.2804
760.1033	11.2803
760.3778	11.2802
760.6524	11.2802
760.9268	11.2801
761.2014	11.28
761.4744	11.2244
761.7489	11.2243
762.0234	11.2243
762.298	11.2242
762.5725	11.2241
762.847	11.2241
763.1215	11.224
763.396	11.2239
763.6705	11.2239
763.9436	11.1683
764.2181	11.1682
764.4926	11.1681
764.7671	11.1681
765.0416	11.168
765.3162	11.1679
765.5907	11.1679
765.8652	11.1678
766.1397	11.1677
766.4142	11.1677
766.6888	11.1676
766.9633	11.1675
767.2378	11.1675
767.5123	11.1674
767.7868	11.1673
768.0613	11.1673
768.3359	11.1672
768.6104	11.1671
768.8834	11.1115
769.1579	11.1114
769.4324	11.1114
769.7069	11.1113
769.9815	11.1112
770.256	11.1112
770.5305	11.1111
770.805	11.111
771.0795	11.111
771.3541	11.1109
771.6286	11.1108
771.9031	11.1108
772.1776	11.1107
772.4521	11.1106
772.725	11.055
772.9997	11.055
773.2742	11.0549
773.5487	11.0548
773.8232	11.0548
774.0977	11.0547
774.3723	11.0546
774.6468	11.0546
