time	diversity	m_div	M_div
649.987409035	0.02	0	1
650.087427624	0.02	0	1
650.187446213	0.02	0	1
650.287464801	0.02	0	1
650.38748339	0.02	0	1
650.487501979	0.02	0	1
650.587520568	0.02	0	1
650.687539157	0.02	0	1
650.787557746	0.02	0	1
650.887576335	0.02	0	1
650.987594923	0.02	0	1
651.087613512	0.02	0	1
651.187632101	0.02	0	1
651.28765069	0.02	0	1
651.387669279	0.02	0	1
651.487687868	0.02	0	1
651.587706456	0.02	0	1
651.687725045	0.02	0	1
651.787743634	0.02	0	1
651.887762223	0.02	0	1
651.987780812	0.02	0	1
652.087799401	0.02	0	1
652.187817989	0.02	0	1
652.287836578	0.02	0	1
652.387855167	0.02	0	1
652.487873756	0.02	0	1
652.587892345	0.02	0	1
652.687910934	0.02	0	1
652.787929522	0.02	0	1
652.887948111	0.02	0	1
652.9879667	0.02	0	1
653.087985289	0.02	0	1
653.188003878	0.02	0	1
653.288022467	0.02	0	1
653.388041055	0.02	0	1
653.488059644	0.02	0	1
653.588078233	0.02	0	1
653.688096822	0.02	0	1
653.788115411	0.02	0	1
653.888134	0.02	0	1
653.988152589	0.02	0	1
654.088171177	0.02	0	1
654.188189766	0.02	0	1
654.288208355	0.02	0	1
654.388226944	0.02	0	1
654.488245533	0.02	0	1
654.588264122	0.02	0	1
654.68828271	0.02	0	1
654.788301299	0.02	0	1
654.888319888	0.02	0	1
654.988338477	0.02	0	1
655.088357066	0.02	0	1
655.188375655	0.02	0	1
655.288394243	0.02	0	1
655.388412832	0.02	0	1
655.488431421	0.02	0	1
655.58845001	0.02	0	1
655.688468599	0.02	0	1
655.788487188	0.02	0	1
655.888505776	0.02	0	1
655.988524365	0.02	0	1
656.088542954	0.02	0	1
656.188561543	0.02	0	1
656.288580132	0.02	0	1
656.388598721	0.02	0	1
656.488617309	0.02	0	1
656.588635898	0.02	0	1
656.688654487	0.02	0	1
656.788673076	0.02	0	1
656.888691665	0.02	0	1
656.988710254	0.02	0	1
657.088728842	0.02	0	1
657.188747431	0.02	0	1
657.28876602	0.02	0	1
657.388784609	0.02	0	1
657.488803198	0.02	0	1
657.588821787	0.02	0	1
657.688840376	0.02	0	1
657.788858964	0.02	0	1
657.888877553	0.02	0	1
657.988896142	0.02	0	1
658.088914731	0.02	0	1
658.18893332	0.02	0	1
658.288951909	0.02	0	1
658.388970497	0.02	0	1
658.488989086	0.02	0	1
658.589007675	0.02	0	1
658.689026264	0.02	0	1
658.789044853	0.02	0	1
658.889063442	0.02	0	1
658.98908203	0.02	0	1
659.089100619	0.02	0	1
659.189119208	0.02	0	1
659.289137797	0.02	0	1
659.389156386	0.02	0	1
659.489174975	0.02	0	1
659.589193563	0.02	0	1
659.689212152	0.02	0	1
659.789230741	0.02	0	1
659.88924933	0.02	0	1
659.989267919	0.02	0	1
660.089286508	0.02	0	1
660.189305096	0.02	0	1
660.289323685	0.02	0	1
660.389342274	0.02	0	1
660.489360863	0.02	0	1
660.589379452	0.02	0	1
660.689398041	0.02	0	1
660.78941663	0.02	0	1
660.889435218	0.02	0	1
660.989453807	0.02	0	1
661.089472396	0.02	0	1
661.189490985	0.02	0	1
661.289509574	0.02	0	1
661.389528163	0.02	0	1
661.489546751	0.02	0	1
661.58956534	0.02	0	1
661.689583929	0.02	0	1
661.789602518	0.02	0	1
661.889621107	0.02	0	1
661.989639696	0.02	0	1
662.089658284	0.02	0	1
662.189676873	0.02	0	1
662.289695462	0.02	0	1
662.389714051	0.02	0	1
662.48973264	0.02	0	1
