Species	Status	min_age	max_age
Trachydictya	extinct	155.7	161.2
Cnemidiastrum_stellatum	extinct	155.7	161.2
Cnemidiastrum_pluristellatum	extinct	155.7	161.2
Cylindrophyma_milleporata	extinct	155.7	161.2
Coscinodiscus	extinct	155.7	161.2
Sphaeropegma_nuda	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Chonellopsis_striata	extinct	155.7	161.2
Sontheimia_parasitica	extinct	155.7	161.2
Sontheimia_perforata	extinct	155.7	161.2
Platychonia_schlotheimi	extinct	155.7	161.2
Chonellopsis_striata	extinct	155.7	161.2
Cnemidiastrum_stellatum	extinct	155.7	161.2
Cnemopeltia_rimulosum	extinct	155.7	161.2
Cylindrophyma_milleporata	extinct	155.7	161.2
Lecanella_pateraeformis	extinct	155.7	161.2
Pachycothon	extinct	150.8	155.7
Heterostinia	extinct	150.8	155.7
Sontheimia_perforata	extinct	150.8	155.7
Kyphoclonella_multiformis	extinct	150.8	155.7
Kyphoclonella	extinct	150.8	155.7
Platychonia_schlotheimi	extinct	150.8	155.7
Chonellopsis_striata	extinct	150.8	155.7
Cnemidiastrum_stellatum	extinct	150.8	155.7
Cnemopeltia_rimulosum	extinct	150.8	155.7
Cnemidiastrum_pluristellatum	extinct	150.8	155.7
Hyalotragos_patella	extinct	150.8	155.7
Hyalotragos_pezizoides	extinct	150.8	155.7
Hyalotragos	extinct	150.8	155.7
Pyrgochonia_radiata	extinct	150.8	155.7
Pyrgochonia_acetabulum	extinct	150.8	155.7
Reiswigia	extinct	150.8	155.7
Cylindrophyma_milleporata	extinct	150.8	155.7
Coscinodiscus	extinct	150.8	155.7
Lecanella_pateraeformis	extinct	150.8	155.7
Sphaeropegma_nuda	extinct	150.8	155.7
Lecanella	extinct	150.8	155.7
Cylindrophyma_milleporata	extinct	155.7	161.2
Pachycothon	extinct	152.1	157.3
Heterostinia	extinct	152.1	157.3
Megalithista	extinct	152.1	157.3
Platychonia_schlotheimi	extinct	152.1	157.3
Chonellopsis_striata	extinct	152.1	157.3
Chonellopsis_folium	extinct	152.1	157.3
Cnemidiastrum_stellatum	extinct	152.1	157.3
Cnemopeltia_rimulosum	extinct	152.1	157.3
Cnemidiastrum_pluristellatum	extinct	152.1	157.3
Hyalotragos_patella	extinct	152.1	157.3
Hyalotragos_pezizoides	extinct	152.1	157.3
Hyalotragos	extinct	152.1	157.3
Pyrgochonia_radiata	extinct	152.1	157.3
Reiswigia	extinct	152.1	157.3
Epistomella	extinct	152.1	157.3
Cylindrophyma_milleporata	extinct	152.1	157.3
Coscinodiscus	extinct	152.1	157.3
Lecanella_pateraeformis	extinct	152.1	157.3
Lecanella	extinct	152.1	157.3
Lecanella	extinct	152.1	157.3
Heterostinia	extinct	152.1	157.3
Platychonia_schlotheimi	extinct	152.1	157.3
Cnemopeltia_rimulosum	extinct	152.1	157.3
Hyalotragos_patella	extinct	152.1	157.3
Hyalotragos_pezizoides	extinct	152.1	157.3
Hyalotragos	extinct	152.1	157.3
Pyrgochonia_acetabulum	extinct	152.1	157.3
Cylindrophyma_milleporata	extinct	152.1	157.3
Linochone_rimosa	extinct	152.1	157.3
Melonella_radiata	extinct	152.1	157.3
Lecanella_pateraeformis	extinct	152.1	157.3
Pachycothon	extinct	152.1	157.3
Heterostinia	extinct	152.1	157.3
Leiocarenus_planus	extinct	152.1	157.3
Platychonia_schlotheimi	extinct	152.1	157.3
Chonellopsis_striata	extinct	152.1	157.3
Chonellopsis_folium	extinct	152.1	157.3
Trachydictya	extinct	152.1	157.3
Cnemopeltia_rimulosum	extinct	152.1	157.3
Cnemidiastrum_pluristellatum	extinct	152.1	157.3
Cytoracia_variabilis	extinct	152.1	157.3
Hyalotragos_patella	extinct	152.1	157.3
Hyalotragos_pezizoides	extinct	152.1	157.3
Hyalotragos	extinct	152.1	157.3
Pyrgochonia_acetabulum	extinct	152.1	157.3
Amphibleptula_jurassica	extinct	152.1	157.3
Cylindrophyma_milleporata	extinct	152.1	157.3
Melonella_radiata	extinct	152.1	157.3
Coscinodiscus	extinct	152.1	157.3
Lecanella_pateraeformis	extinct	152.1	157.3
Chonellopsis_striata	extinct	150.8	155.7
Cnemopeltia_rimulosum	extinct	150.8	155.7
Hyalotragos_patella	extinct	150.8	155.7
Hyalotragos_pezizoides	extinct	150.8	155.7
