Ma	PAL
240.7282	1.1263
240.307	1.124
239.8858	1.1217
239.8887	1.1194
239.8916	1.1171
239.8944	1.1149
239.4734	1.1126
239.4763	1.1103
239.0551	1.108
239.058	1.1057
239.0609	1.1034
238.6398	1.1011
238.2186	1.0988
237.7974	1.0965
237.8003	1.0942
237.8032	1.0919
237.382	1.0896
236.9609	1.0873
236.5396	1.085
236.5426	1.0827
236.1186	1.0827
235.6974	1.0804
235.7003	1.0781
235.2791	1.0758
234.858	1.0735
234.4368	1.0712
234.0156	1.0689
233.5944	1.0666
233.1733	1.0643
232.7521	1.062
232.3309	1.0597
231.9098	1.0574
231.4886	1.0551
231.0674	1.0528
230.6463	1.0505
230.6492	1.0482
230.2251	1.0482
230.228	1.0459
229.8068	1.0436
229.3857	1.0413
229.3886	1.039
228.9674	1.0367
228.5462	1.0344
228.1251	1.0321
228.128	1.0298
227.7039	1.0298
227.7067	1.0275
227.2856	1.0252
227.2885	1.0229
226.8645	1.0229
226.4433	1.0206
226.0221	1.0183
225.601	1.016
225.1769	1.0159
224.7528	1.0159
224.3287	1.0159
223.9047	1.0159
223.4835	1.0136
223.0594	1.0136
222.6324	1.0158
222.2084	1.0158
221.7843	1.0158
221.3602	1.0158
220.9362	1.0157
220.5121	1.0157
220.088	1.0157
219.6639	1.0157
219.2399	1.0156
218.8157	1.0156
218.3917	1.0156
217.9647	1.0179
217.5407	1.0178
217.1166	1.0178
216.6896	1.0201
216.2656	1.0201
215.8415	1.02
215.4174	1.02
214.9933	1.02
214.5693	1.02
214.1423	1.0222
213.7182	1.0222
213.2912	1.0245
212.8672	1.0245
212.4431	1.0244
212.0161	1.0267
211.592	1.0267
211.168	1.0267
210.741	1.0289
210.314	1.0312
209.8899	1.0312
209.463	1.0334
209.036	1.0357
208.6118	1.0357
208.1878	1.0356
207.7638	1.0356
207.3397	1.0356
206.9156	1.0356
206.4915	1.0356
206.0675	1.0355
205.6404	1.0378
205.2164	1.0378
205.2135	1.0401
204.7894	1.04
204.3654	1.04
203.9413	1.04
203.5143	1.0423
203.0902	1.0422
202.6662	1.0422
202.2421	1.0422
201.818	1.0422
201.394	1.0421
200.9699	1.0421
200.5457	1.0421
200.1188	1.0444
199.6947	1.0443
199.2707	1.0443
198.8466	1.0443
198.4224	1.0443
197.9985	1.0443
197.5744	1.0442
197.1474	1.0465
196.7233	1.0465
196.2993	1.0465
195.8723	1.0487
195.4482	1.0487
195.0241	1.0487
194.6	1.0486
194.176	1.0486
193.7519	1.0486
193.3279	1.0486
192.9038	1.0486
192.4768	1.0508
192.0527	1.0508
191.6258	1.0531
191.1988	1.0553
190.7747	1.0553
190.3477	1.0576
189.9207	1.0598
189.4967	1.0598
189.0726	1.0598
188.6456	1.062
188.2186	1.0643
187.7946	1.0643
187.3676	1.0665
186.9405	1.0688
186.5135	1.0711
186.0867	1.0733
185.6597	1.0756
185.2327	1.0779
184.8056	1.0801
184.3817	1.0801
183.9546	1.0824
183.9518	1.0846
183.5276	1.0846
183.1007	1.0869
183.0977	1.0892
182.6707	1.0914
182.2439	1.0937
181.8169	1.0959
181.814	1.0982
181.3899	1.0982
181.387	1.1005
180.96	1.1028
180.9571	1.105
180.9542	1.1073
180.5272	1.1096
180.1003	1.1118
180.0974	1.1141
179.6703	1.1164
179.2434	1.1186
178.8193	1.1186
178.3953	1.1186
177.9712	1.1186
177.5442	1.1208
177.1201	1.1208
177.1172	1.1231
176.6932	1.1231
176.2691	1.1231
175.842	1.1253
175.418	1.1253
174.991	1.1276
174.567	1.1275
174.14	1.1298
173.713	1.132
173.289	1.132
172.8649	1.132
172.862	1.1343
172.4379	1.1343
172.0109	1.1365
171.5869	1.1365
171.1628	1.1365
170.7358	1.1388
170.3117	1.1387
169.8877	1.1387
169.4607	1.141
169.0337	1.1432
168.6067	1.1455
168.1798	1.1478
167.7528	1.15
167.3287	1.15
166.9017	1.1522
166.4777	1.1522
166.0507	1.1545
165.6237	1.1568
165.6208	1.1591
165.1938	1.1613
164.7668	1.1636
164.3399	1.1658
163.9158	1.1658
163.4888	1.1681
163.0618	1.1703
162.6349	1.1726
162.2079	1.1749
161.7809	1.1771
161.3538	1.1794
160.9268	1.1817
160.5	1.1839
160.4971	1.1862
160.0701	1.1885
159.6431	1.1907
159.2161	1.193
158.7892	1.1952
158.3622	1.1975
158.3593	1.1998
157.9352	1.1998
157.9323	1.202
157.5082	1.202
157.5053	1.2043
157.5024	1.2066
157.0754	1.2089
156.6484	1.2111
156.6456	1.2134
156.6425	1.2157
156.2157	1.2179
155.7887	1.2202
155.3617	1.2225
154.9346	1.2247
154.5078	1.227
154.0808	1.2292
153.6566	1.2292
153.2297	1.2315
152.8028	1.2338
152.3787	1.2337
151.9546	1.2337
151.5305	1.2337
151.1036	1.2359
150.6795	1.2359
150.2554	1.2359
149.8313	1.2359
149.4073	1.2359
148.9832	1.2358
148.5591	1.2358
148.135	1.2358
147.7109	1.2358
147.2869	1.2358
146.8628	1.2357
146.4417	1.2334
146.0176	1.2334
146.0205	1.2311
145.5964	1.2311
145.1753	1.2288
144.7541	1.2265
144.3329	1.2242
143.9117	1.2219
143.4877	1.2219
143.0665	1.2196
